exercise_name,exercise_url,Target,Synergists,Dynamic Stabilizers,Stabilizers,Antagonist Stabilizers,Antagonist      Stabilizers,Dynamic      Stabilizers,Stabilizers (Raised Leg),Stabilizers (Raised Arms),Stabilizers (see comments),Stabilizers (raised leg),Target (see comments),Stabilizers (near arm),Stabilizers (far arm),Synergists (Neck),Synergists / Stabilizers (Spine),Stabilizers (Other),Synergists (Spine),Synergists / Stabilizers (Hips),Target (see comments),Target(See Comments),Synergists (see comments),Target (See Comments),Stabilizers (raised arms),Antagonist Stabilizers (see comment),​​​​​​​Stabilizers,Stabilizers (see comments),Antagonist Stabilizers (see comments)
Barbell Squat (low bar),https://exrx.net/WeightExercises/GluteusMaximus/BBSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,Erector Spinae,,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Barbell Front Squat,https://exrx.net/WeightExercises/GluteusMaximus/BBFrontSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,"Erector Spinae; Deltoid, Anterior; Deltoid, Lateral; Supraspinatus; Pectoralis Major, Clavicular; Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Trapezius, Lower; Serratus Anterior",Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Safety Barbell Squat,https://exrx.net/WeightExercises/GluteusMaximus/SBSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,Erector Spinae,,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Barbell Step-up,https://exrx.net/WeightExercises/GluteusMaximus/BBStepUp,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus; Gastrocnemius (Second Leg),Hamstrings; Gastrocnemius (First Leg),Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Cable Glute Kickback,https://exrx.net/WeightExercises/GluteusMaximus/CBGluteKickback,Gluteus Maximus,Adductor Magnus,,Obliques; Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus,,,,,,,,,,,,,,,,,,,,,,,,
Cable Rear Lunge,https://exrx.net/WeightExercises/GluteusMaximus/CBRearLunge,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,"Erector Spinae; Trapezius, Upper; Trapezius, Lower; Levator Scapulae; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques",,,,,,,,,,,,,,,,,,,,,,,,
Cable Split Squat,https://exrx.net/WeightExercises/GluteusMaximus/CBLungeTwoArm,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Erector Spinae; Obliques",,,,,,,,,,,,,,,,,,,,,,,,
Cable Squat,https://exrx.net/WeightExercises/GluteusMaximus/CBSquat,Gluteus Maximus,Quadriceps; Adductor Magnus; Soleus,,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Cable Standing Hip Extension,https://exrx.net/WeightExercises/GluteusMaximus/CBStandingHipExtension,Gluteus Maximus,Hamstrings,,Erector Spinae; Obliques; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus,Rectus Abdominis,,,,,,,,,,,,,,,,,,,,,,,
Cable Bent-over Hip Extension,https://exrx.net/WeightExercises/GluteusMaximus/CBBentOverHipExtension,Gluteus Maximus,Hamstrings,,Obliques; Erector Spinae; Quadratus Lumborum; Gluteus Medius; Gluteus Minimus,,,,,,,,,,,,,,,,,,,,,,,,
